title,impact,time,country
"Halifax HPI m/m","Medium",2015-02-04T08:00:00Z,"GBP"
"Retail Sales m/m","Medium",2015-02-04T10:00:00Z,"EUR"
"Crude Oil Inventories","Medium",2015-02-04T15:30:00Z,"USD"
"SECO Consumer Climate","Low",2015-02-05T06:45:00Z,"CHF"
"Official Bank Rate","High",2015-02-05T12:00:00Z,"GBP"
"Trade Balance","High",2015-02-05T13:30:00Z,"CAD"
"AIG Construction Index","Low",2015-02-05T22:30:00Z,"AUD"
"French Trade Balance","Low",2015-02-06T07:45:00Z,"EUR"
"Unemployment Rate","High",2015-02-06T13:30:00Z,"USD"
"FOMC Member Lockhart Speaks","Medium",2015-02-06T17:45:00Z,"USD"
"Manufacturing PMI","High",2015-02-01T12:59:00Z,"CNY"
"GDT Price Index","High",2015-02-03T15:06:00Z,"NZD"
"EU Economic Forecasts","Medium",2015-02-05T10:00:00Z,"EUR"
"Non-Manufacturing PMI","Medium",2015-02-01T12:59:00Z,"CNY"
"RBNZ Gov Wheeler Speaks","High",2015-02-04T12:00:00Z,"NZD"
"Halifax HPI m/m","Medium",2015-02-05T08:00:00Z,"GBP"
"AIG Manufacturing Index","Low",2015-02-01T22:25:00Z,"AUD"
"ECB Economic Bulletin","Medium",2015-02-05T09:00:00Z,"EUR"
"Spanish Unemployment Change","High",2015-02-03T08:00:00Z,"EUR"
"NAB Quarterly Business Confidence","Medium",2015-02-04T12:30:00Z,"AUD"
"Trade Balance","High",2015-02-08T04:03:00Z,"CNY"
"Loan Officer Survey","Low",2015-02-02T19:00:00Z,"USD"
"French 10-y Bond Auction","Low",2015-02-05T10:00:00Z,"EUR"
"Trade Balance","High",2015-02-08T02:39:00Z,"CNY"
"Consumer Confidence","Low",2015-02-09T05:00:00Z,"JPY"
"Housing Starts","Low",2015-02-09T13:15:00Z,"CAD"
"BRC Retail Sales Monitor y/y","Low",2015-02-10T12:01:00Z,"GBP"
"REINZ HPI m/m","Low",2015-02-10T02:03:00Z,"NZD"
"G20 Meetings","Medium",2015-02-10T09:15:00Z,"ALL"
"NIESR GDP Estimate","Medium",2015-02-10T15:00:00Z,"GBP"
"Gov Council Member Wilkins Speaks","Medium",2015-02-10T17:45:00Z,"CAD"
"New Loans","Medium",2015-02-11T08:00:00Z,"CNY"
"Federal Budget Balance","Low",2015-02-11T19:00:00Z,"USD"
"MI Inflation Expectations","Medium",2015-02-12T12:00:00Z,"AUD"
"German Final CPI m/m","Low",2015-02-12T07:00:00Z,"EUR"
"BOE Inflation Letter","Medium",2015-02-12T10:30:00Z,"GBP"
"Business Inventories m/m","Medium",2015-02-12T15:00:00Z,"USD"
"CB Leading Index m/m","Low",2015-02-13T02:00:00Z,"CNY"
"PPI m/m","Medium",2015-02-13T08:15:00Z,"CHF"
"Import Prices m/m","Medium",2015-02-13T13:30:00Z,"USD"
"Bank Lending y/y","Low",2015-02-08T23:50:00Z,"JPY"
"Economy Watchers Sentiment","Low",2015-02-09T06:00:00Z,"JPY"
"Labor Market Conditions Index m/m","Low",2015-02-09T15:00:00Z,"USD"
"HPI q/q","Medium",2015-02-10T12:30:00Z,"AUD"
"Unemployment Rate","Low",2015-02-10T06:45:00Z,"CHF"
"Industrial Production m/m","Low",2015-02-10T09:30:00Z,"GBP"
"Wholesale Inventories m/m","Low",2015-02-10T15:00:00Z,"USD"
"Westpac Consumer Sentiment","Medium",2015-02-10T23:30:00Z,"AUD"
"30-y Bond Auction","Low",2015-02-11T10:03:00Z,"GBP"
"Business NZ Manufacturing Index","Medium",2015-02-11T21:30:00Z,"NZD"
"RICS House Price Balance","Low",2015-02-12T12:01:00Z,"GBP"
"Industrial Production m/m","Low",2015-02-12T10:00:00Z,"EUR"
"Unemployment Claims","High",2015-02-12T13:30:00Z,"USD"
"Natural Gas Storage","Low",2015-02-12T15:30:00Z,"USD"
"French Prelim GDP q/q","Medium",2015-02-13T06:30:00Z,"EUR"
"Italian Prelim GDP q/q","Medium",2015-02-13T09:00:00Z,"EUR"
"Manufacturing Sales m/m","High",2015-02-13T13:30:00Z,"CAD"
"Current Account","Medium",2015-02-08T23:50:00Z,"JPY"
"German Trade Balance","Low",2015-02-09T07:00:00Z,"EUR"
"FOMC Member Powell Speaks","Medium",2015-02-09T21:00:00Z,"USD"
"NAB Business Confidence","High",2015-02-10T12:30:00Z,"AUD"
"French Industrial Production m/m","Medium",2015-02-10T07:45:00Z,"EUR"
"Manufacturing Production m/m","High",2015-02-10T09:30:00Z,"GBP"
"Mortgage Delinquencies","Medium",2015-02-10T15:00:00Z,"USD"
"Bank Holiday","Holiday",2015-02-11T12:00:00Z,"JPY"
"Eurogroup Meetings","High",2015-02-11T10:15:00Z,"EUR"
"RBA Assist Gov Debelle Speaks","Medium",2015-02-11T22:00:00Z,"AUD"
"Employment Change","High",2015-02-12T12:30:00Z,"AUD"
"EU Economic Summit","Medium",2015-02-12T10:15:00Z,"EUR"
"Retail Sales m/m","High",2015-02-12T13:30:00Z,"USD"
"30-y Bond Auction","Low",2015-02-12T18:01:00Z,"USD"
"German Prelim GDP q/q","Medium",2015-02-13T07:00:00Z,"EUR"
"Construction Output m/m","Low",2015-02-13T09:30:00Z,"GBP"
"CB Leading Index m/m","Low",2015-02-13T14:30:00Z,"GBP"
"RBA Gov Stevens Speaks","High",2015-02-09T12:15:00Z,"AUD"
"G20 Meetings","Medium",2015-02-09T09:15:00Z,"ALL"
"M2 Money Stock y/y","Low",2015-02-09T23:50:00Z,"JPY"
"CPI y/y","High",2015-02-10T01:30:00Z,"CNY"
"CPI m/m","Medium",2015-02-10T08:15:00Z,"CHF"
"FOMC Member Lacker Speaks","Medium",2015-02-10T13:20:00Z,"USD"
